node_id,step,time_s,temperature,luminosity,pressure,delta_v,mean_pwr_mw,action,action_label,aoi,energy_mj
m3-11,83,415.06,30.2688,0.4883,999.0171,0,114.96,1,wait,20,0.575
m3-11,84,420.07,30.2958,0.7324,999.1697,0,116.84,1,wait,20,0.585
m3-11,85,425.08,30.3312,0.4883,999.0183,0,114.86,1,wait,20,0.575
m3-11,86,430.07,30.325,0.7324,999.1502,0,116.97,1,wait,20,0.584
m3-11,87,435.08,30.325,0.4883,999.0632,0,114.76,1,wait,20,0.575
m3-11,88,440.09,30.3188,0.7324,999.0461,0,117.02,1,wait,20,0.586
m3-11,89,445.09,30.3271,0.4883,999.2234,0,114.7,1,wait,20,0.574
m3-11,90,450.09,30.3354,0.7324,999.1238,0,117.15,1,wait,20,0.586
m3-11,91,455.09,30.3417,0.4883,999.0833,0,114.75,1,wait,20,0.574
m3-11,92,460.1,30.3146,0.7324,999.071,0,116.85,1,wait,20,0.585
m3-11,93,465.11,30.3229,0.4883,999.2039,0,114.87,1,wait,20,0.575
m3-11,94,470.1,30.3458,0.7324,999.0007,0,116.99,1,wait,20,0.584
m3-11,95,475.11,30.3,0.4883,999.0535,0,114.74,1,wait,20,0.575
m3-11,96,480.12,30.3083,0.7324,999.156,0,117.03,1,wait,20,0.586
m3-11,97,485.12,30.3333,0.4883,998.979,0,114.71,1,wait,20,0.574
m3-11,98,490.12,30.2896,0.7324,999.0386,0,117.17,1,wait,20,0.586
m3-11,99,495.12,30.3354,0.4883,999.1069,0,114.58,1,wait,20,0.573
m3-11,100,500.13,30.3292,0.7324,999.0435,0,117.2,1,wait,20,0.587
m3-11,101,505.14,30.3562,0.4883,999.0098,0,114.54,1,wait,20,0.574
m3-11,102,510.13,30.3354,0.7324,999.1299,0,117.33,1,wait,20,0.585
m3-11,103,515.14,30.3604,0.4883,998.9871,0,114.41,1,wait,20,0.573
m3-11,104,520.15,30.3479,0.7324,999.1856,0,117.38,1,wait,20,0.588
m3-11,105,525.15,30.3625,0.4883,999.0344,0,114.37,1,wait,20,0.572
m3-11,106,530.14,30.3229,0.7324,999.1165,0,117.35,1,wait,20,0.586
m3-11,107,535.15,30.3729,0.4883,999.0422,0,114.58,1,wait,20,0.574
m3-11,108,540.16,30.3438,0.7324,999.1497,0,117.22,1,wait,20,0.587
m3-11,109,545.17,30.3625,0.4883,999.0156,0,114.54,1,wait,20,0.574
m3-11,110,550.16,30.3188,0.7324,998.9683,0,117.3,1,wait,20,0.585
m3-11,111,555.17,30.3312,0.4883,999.0376,0,114.4,1,wait,20,0.573
m3-11,112,560.17,30.3438,0.7324,999.0659,0,117.37,1,wait,20,0.587
m3-11,113,565.18,30.3354,0.4883,999.0488,0,114.34,1,wait,20,0.573
m3-11,114,570.17,30.3438,0.7324,999.01,0,117.45,1,wait,20,0.586
m3-11,115,575.18,30.3292,0.4883,999.0754,0,114.23,1,wait,20,0.572
m3-11,116,580.19,30.3479,0.7324,999.085,0,117.55,1,wait,20,0.589
m3-11,117,585.2,30.35,0.4883,999.0488,0,114.18,1,wait,20,0.572
m3-11,118,590.19,30.3583,0.7324,998.9641,0,117.6,1,wait,20,0.587
m3-11,119,595.2,30.3667,0.4883,998.9434,0,114.07,1,wait,20,0.571
m3-11,120,600.2,30.3375,0.7324,999.0715,0,117.7,1,wait,20,0.588
m3-11,121,605.21,30.375,0.4883,999.0498,0,114.01,1,wait,20,0.571
m3-11,122,610.2,30.3521,0.7324,999.0527,0,117.61,1,wait,20,0.587
m3-11,123,615.21,30.3708,0.2441,999.0644,0,114.22,1,wait,20,0.572
m3-11,124,620.22,30.3646,0.7324,999.0156,0,117.58,1,wait,20,0.589
m3-11,125,625.23,30.3271,0.4883,999.116,0,114.18,1,wait,20,0.572
m3-11,126,630.22,30.3625,0.7324,999.0986,0,117.61,1,wait,20,0.587
m3-11,127,635.23,30.3708,0.4883,999.0696,0,114.06,1,wait,20,0.571
m3-11,128,640.23,30.3625,0.7324,999.0625,0,117.72,1,wait,20,0.589
