ts,node_id,rssi,time_s,channel_quality
1777281542.452076,m3-10,-91.0,43.021,0
1777281543.452082,m3-10,-91.0,44.021,0
1777281544.452088,m3-10,-91.0,45.021,0
1777281545.452094,m3-10,-91.0,46.021,0
1777281546.452101,m3-10,-91.0,47.021,0
1777281547.452107,m3-10,-91.0,48.021,0
1777281548.452113,m3-10,-91.0,49.021,0
1777281549.452119,m3-10,-91.0,50.021,0
1777281550.452125,m3-10,-91.0,51.021,0
1777281551.452131,m3-10,-91.0,52.021,0
1777281552.452138,m3-10,-91.0,53.021,0
1777281553.452144,m3-10,-91.0,54.021,0
1777281554.45215,m3-10,-91.0,55.021,0
1777281555.452156,m3-10,-91.0,56.021,0
1777281556.452162,m3-10,-91.0,57.021,0
1777281557.452168,m3-10,-91.0,58.021,0
1777281558.452175,m3-10,-91.0,59.021,0
1777281559.452181,m3-10,-91.0,60.021,0
1777281560.452187,m3-10,-91.0,61.021,0
1777281561.452193,m3-10,-91.0,62.021,0
1777281562.452199,m3-10,-91.0,63.022,0
1777281563.452205,m3-10,-91.0,64.022,0
1777281564.452212,m3-10,-91.0,65.022,0
1777281565.452218,m3-10,-91.0,66.022,0
1777281566.452224,m3-10,-91.0,67.022,0
1777281567.45223,m3-10,-91.0,68.022,0
1777281568.452236,m3-10,-91.0,69.022,0
1777281569.452242,m3-10,-91.0,70.022,0
1777281570.452249,m3-10,-91.0,71.022,0
1777281571.452255,m3-10,-91.0,72.022,0
1777281572.452261,m3-10,-91.0,73.022,0
1777281573.452267,m3-10,-91.0,74.022,0
1777281574.452273,m3-10,-91.0,75.022,0
1777281575.452279,m3-10,-91.0,76.022,0
1777281576.452286,m3-10,-91.0,77.022,0
1777281577.452292,m3-10,-91.0,78.022,0
1777281578.452298,m3-10,-91.0,79.022,0
1777281579.452304,m3-10,-91.0,80.022,0
1777281580.45231,m3-10,-91.0,81.022,0
1777281581.452316,m3-10,-91.0,82.022,0
1777281582.452322,m3-10,-91.0,83.022,0
1777281583.452329,m3-10,-91.0,84.022,0
1777281584.452335,m3-10,-91.0,85.022,0
1777281585.452341,m3-10,-91.0,86.022,0
1777281586.452347,m3-10,-91.0,87.022,0
1777281587.452353,m3-10,-91.0,88.022,0
1777281588.452359,m3-10,-91.0,89.022,0
1777281589.452366,m3-10,-91.0,90.022,0
1777281590.452372,m3-10,-91.0,91.022,0
1777281591.452378,m3-10,-91.0,92.022,0
1777281592.452384,m3-10,-91.0,93.022,0
1777281593.45239,m3-10,-91.0,94.022,0
1777281594.452396,m3-10,-91.0,95.022,0
1777281595.452403,m3-10,-91.0,96.022,0
1777281596.452409,m3-10,-91.0,97.022,0
1777281597.452415,m3-10,-91.0,98.022,0
1777281598.452421,m3-10,-91.0,99.022,0
1777281599.452427,m3-10,-91.0,100.022,0
1777281600.452433,m3-10,-91.0,101.022,0
1777281601.45244,m3-10,-91.0,102.022,0
1777281602.452446,m3-10,-91.0,103.022,0
1777281603.452452,m3-10,-91.0,104.022,0
1777281604.452458,m3-10,-91.0,105.022,0
1777281605.452464,m3-10,-91.0,106.022,0
1777281606.45247,m3-10,-91.0,107.022,0
1777281607.452477,m3-10,-91.0,108.022,0
1777281608.452483,m3-10,-91.0,109.022,0
1777281609.452489,m3-10,-91.0,110.022,0
1777281610.452495,m3-10,-91.0,111.022,0
1777281611.452501,m3-10,-91.0,112.022,0
1777281612.452507,m3-10,-91.0,113.022,0
1777281613.452514,m3-10,-91.0,114.022,0
1777281614.45252,m3-10,-91.0,115.022,0
1777281615.452526,m3-10,-91.0,116.022,0
1777281616.452532,m3-10,-91.0,117.022,0
1777281617.452538,m3-10,-91.0,118.022,0
1777281618.452544,m3-10,-91.0,119.022,0
1777281619.452551,m3-10,-91.0,120.022,0
1777281620.452557,m3-10,-91.0,121.022,0
1777281621.452563,m3-10,-91.0,122.022,0
1777281622.452569,m3-10,-91.0,123.022,0
1777281623.452575,m3-10,-91.0,124.022,0
1777281624.452581,m3-10,-91.0,125.022,0
1777281625.452588,m3-10,-91.0,126.022,0
1777281626.452594,m3-10,-91.0,127.022,0
1777281627.4526,m3-10,-91.0,128.022,0
1777281628.452606,m3-10,-91.0,129.022,0
1777281629.452612,m3-10,-91.0,130.022,0
1777281630.452618,m3-10,-91.0,131.022,0
