node_id,step,time_s,temperature,luminosity,pressure,sensor_volatility,power_mw,rssi,channel_quality
m3-10,102,509.98,44.3125,142.5781,997.5974,1,118.49,-91.0,2
m3-10,103,514.98,44.2979,141.8457,997.5122,1,115.16,-91.0,2
m3-10,104,519.99,44.3021,144.7754,997.5439,1,118.42,-91.0,2
m3-10,105,524.99,44.3062,145.9961,997.6428,2,115.19,-91.0,2
m3-10,106,530.03,44.2896,142.8223,997.5662,1,118.22,-91.0,2
m3-10,107,535.0,44.3208,137.9394,997.6201,1,115.35,-91.0,2
m3-10,108,540.0,44.3583,130.6152,997.7258,2,118.35,-91.0,2
m3-10,109,545.01,44.3646,124.2676,997.6736,1,115.23,-91.0,2
m3-10,110,550.01,44.3542,121.0938,997.5896,1,118.29,-91.0,2
m3-10,111,555.02,44.3479,123.0469,997.6614,1,115.26,-91.0,2
m3-10,112,560.02,44.3646,126.709,997.8613,2,118.28,-91.0,2
m3-10,113,565.02,44.3333,133.0566,997.7444,2,115.38,-91.0,2
m3-10,114,570.03,44.375,140.1367,997.6645,2,118.24,-91.0,2
m3-10,115,575.03,44.3917,145.7519,997.687,1,115.47,-91.0,2
m3-10,116,580.04,44.4042,148.6816,997.677,1,118.29,-91.0,2
m3-10,117,585.04,44.3667,149.9023,997.5073,2,115.55,-91.0,2
m3-10,118,590.04,44.4167,151.1231,997.5171,1,118.24,-91.0,2
m3-10,119,595.05,44.3854,152.0996,997.7095,2,115.6,-91.0,2
m3-10,120,600.05,44.4167,151.6113,997.7129,1,118.24,-91.0,2
m3-10,121,605.06,44.4646,150.6348,997.7014,1,115.66,-91.0,2
m3-10,122,610.06,44.4125,149.4141,997.6838,1,118.17,-91.0,2
m3-10,123,615.07,44.4104,150.3906,997.699,1,115.7,-91.0,2
m3-10,124,620.07,44.4583,150.8789,997.6824,1,118.16,-91.0,2
m3-10,125,625.08,44.4125,151.1231,997.6636,1,115.76,-91.0,2
m3-10,126,630.08,44.4438,150.3906,997.6638,1,118.14,-91.0,2
m3-10,127,635.08,44.4417,149.4141,997.6873,1,115.8,-91.0,2
m3-10,128,640.09,44.4667,149.9023,997.5591,2,118.07,-91.0,2
m3-10,129,645.09,44.5187,153.0762,997.6658,2,115.84,-91.0,2
m3-10,130,650.1,44.4708,154.541,997.6001,1,118.09,-91.0,2
m3-10,131,655.1,44.475,154.2969,997.5249,1,115.93,-91.0,2
m3-10,132,660.11,44.4396,154.7852,997.7556,2,118.0,-91.0,2
m3-10,133,665.11,44.4604,156.9824,997.6182,2,115.93,-91.0,2
m3-10,134,670.11,44.5167,157.2266,997.7102,1,117.98,-91.0,2
m3-10,135,675.12,44.5146,157.959,997.6331,1,116.03,-91.0,2
m3-10,136,680.12,44.5063,159.1797,997.4746,2,117.94,-91.0,2
m3-10,137,685.12,44.4729,159.4238,997.6567,1,116.06,-91.0,2
m3-10,138,690.13,44.5125,159.668,997.51,1,117.91,-91.0,2
m3-10,139,695.18,44.5042,159.4238,997.7195,1,116.35,-91.0,2
m3-10,140,700.14,44.55,159.1797,997.5325,1,117.64,-91.0,2
m3-10,141,705.14,44.5021,160.6445,997.5969,1,116.14,-91.0,2
m3-10,142,710.15,44.5375,157.959,997.7339,2,117.78,-91.0,2
m3-10,143,715.15,44.5438,153.5644,997.6782,1,116.15,-91.0,2
m3-10,144,720.15,44.55,151.3672,997.6238,1,117.8,-91.0,2
m3-10,145,725.16,44.5729,143.3106,997.6484,1,116.19,-91.0,2
m3-10,146,730.16,44.5479,142.0898,997.7366,2,117.66,-91.0,2
m3-10,147,735.17,44.5542,141.3574,997.759,1,116.21,-91.0,2
m3-10,148,740.21,44.5854,140.625,997.7378,1,117.54,-91.0,2
m3-10,149,745.17,44.5562,145.9961,997.7219,1,116.34,-91.0,2
m3-10,150,750.18,44.5688,147.4609,997.6089,2,117.63,-91.0,2
m3-10,151,755.18,44.5812,143.0664,997.7004,1,116.34,-91.0,2
m3-10,152,760.18,44.5896,147.2168,997.6506,1,117.58,-91.0,2
m3-10,153,765.19,44.5979,150.1465,997.667,1,116.4,-91.0,2
m3-10,154,770.19,44.5771,145.2637,997.5725,2,117.54,-91.0,2
m3-10,155,775.2,44.5771,139.4043,997.6475,1,116.41,-91.0,2
m3-10,156,780.2,44.6187,139.4043,997.6201,0,117.44,-91.0,2
m3-10,157,785.2,44.6167,144.5312,997.6885,1,116.44,-91.0,2
m3-10,158,790.21,44.6208,145.5078,997.5474,2,117.49,-91.0,2
m3-10,159,795.21,44.5771,144.7754,997.5972,1,116.53,-91.0,2
m3-10,160,800.22,44.6146,145.0195,997.5813,1,117.39,-91.0,2
m3-10,161,805.22,44.6125,148.9258,997.4768,2,116.55,-91.0,2
m3-10,162,810.22,44.6229,148.1934,997.8415,2,117.41,-91.0,2
m3-10,163,815.23,44.6437,146.4844,997.7368,2,116.61,-91.0,2
m3-10,164,820.23,44.6458,146.7285,997.4316,1,117.33,-91.0,2
m3-10,165,825.23,44.5792,147.4609,997.6411,2,116.65,-91.0,2
m3-10,166,830.24,44.6479,149.9023,997.6685,1,117.32,-91.0,2
m3-10,167,835.24,44.6417,150.8789,997.5837,1,116.71,-91.0,2
m3-10,168,840.25,44.6354,151.1231,997.7165,1,117.27,-91.0,2
m3-10,169,845.25,44.65,146.9727,997.6248,1,116.75,-91.0,2
