timestamp,node_id,temperature,luminosity,pressure
1776012517.470118,m3-14,30.1771,0.2441,997.9712
1776012517.47057,m3-13,29.0437,0.2441,999.3401
1776012522.461875,m3-14,30.1896,0.4883,997.842
1776012522.462398,m3-13,29.0417,0.4883,999.3618
1776012522.46943,m3-10,30.2917,0.4883,998.6282
1776012522.473866,m3-11,30.1458,0.7324,999.084
1776012522.474484,m3-12,30.2688,0.4883,998.0501
1776012527.465605,m3-11,30.15,0.4883,999.0532
1776012527.466453,m3-12,30.3083,0.2441,998.1028
1776012527.469412,m3-14,30.1875,0.2441,997.7983
1776012527.469839,m3-13,29.0437,0.2441,999.3938
1776012527.477025,m3-10,30.3125,0.2441,998.282
1776012532.468672,m3-10,30.2667,0.4883,998.5293
1776012532.473256,m3-11,30.1458,0.7324,999.0562
1776012532.474006,m3-12,30.2792,0.4883,998.1433
1776012532.477113,m3-14,30.15,0.4883,997.9177
1776012532.47753,m3-13,29.0458,0.4883,999.3704
1776012537.476394,m3-10,30.3083,0.2441,998.4497
1776012537.480918,m3-11,30.1292,0.4883,998.9915
1776012537.48167,m3-12,30.2854,0.2441,998.1436
1776012537.484619,m3-14,30.1875,0.2441,997.7332
1776012537.485038,m3-13,29.0542,0.2441,999.4587
1776012542.476235,m3-14,30.2,0.4883,997.8506
1776012542.476812,m3-13,29.0792,0.4883,999.3025
1776012542.483954,m3-10,30.2896,0.4883,998.4358
1776012542.488639,m3-11,30.1333,0.7324,999.1013
1776012542.489064,m3-12,30.2854,0.4883,998.1309
1776012547.480357,m3-11,30.1667,0.4883,999.0288
1776012547.480861,m3-12,30.3417,0.2441,998.1187
1776012547.483869,m3-14,30.2021,0.2441,997.8655
1776012547.484295,m3-13,29.0292,0.2441,999.3613
1776012547.491452,m3-10,30.2917,0.2441,998.3032
1776012552.483152,m3-10,30.3104,0.4883,998.2932
1776012552.488004,m3-11,30.1583,0.7324,999.2229
1776012552.488427,m3-12,30.3375,0.4883,998.2092
1776012552.491529,m3-14,30.1792,0.4883,997.9307
1776012552.491949,m3-13,29.0292,0.4883,999.2942
1776012557.490664,m3-10,30.2792,0.2441,998.4431
1776012557.49569,m3-11,30.2083,0.4883,999.0293
1776012557.496113,m3-12,30.3333,0.2441,998.2158
1776012557.498924,m3-14,30.2292,0.2441,997.8657
1776012557.49981,m3-13,29.0854,0.2441,999.3215
1776012562.490671,m3-14,30.1958,0.4883,997.9243
1776012562.491398,m3-13,29.0458,0.4883,999.4304
1776012562.498207,m3-10,30.3042,0.4883,998.4602
1776012562.503073,m3-11,30.1729,0.7324,999.0691
1776012562.503445,m3-12,30.3396,0.4883,998.0801
1776012567.495101,m3-11,30.1833,0.4883,999.0623
1776012567.4956,m3-12,30.3292,0.2441,998.1587
1776012567.498373,m3-14,30.2146,0.2441,997.8166
1776012567.49915,m3-13,29.0729,0.2441,999.344
1776012567.505945,m3-10,30.325,0.2441,998.4075
1776012572.497636,m3-10,30.3083,0.4883,998.4343
1776012572.502749,m3-11,30.1833,0.7324,999.0342
1776012572.503164,m3-12,30.3292,0.4883,998.032
1776012572.506027,m3-14,30.1792,0.4883,997.9004
1776012572.50693,m3-13,29.0625,0.4883,999.4058
1776012577.505231,m3-10,30.3292,0.2441,998.3596
1776012577.510405,m3-11,30.1646,0.4883,998.9988
1776012577.51088,m3-12,30.3146,0.2441,998.165
1776012577.513728,m3-14,30.2,0.2441,997.8196
1776012577.514358,m3-13,29.0917,0.2441,999.2205
1776012582.505295,m3-14,30.1875,0.4883,997.8574
1776012582.506206,m3-13,29.0479,0.4883,999.2498
1776012582.512759,m3-10,30.3687,0.4883,998.3667
1776012582.518102,m3-11,30.1771,0.7324,998.9636
1776012582.518559,m3-12,30.3188,0.4883,998.0225
1776012587.509843,m3-11,30.1833,0.4883,998.9636
1776012587.51038,m3-12,30.3083,0.2441,998.2454
1776012587.51295,m3-14,30.1833,0.2441,997.8171
1776012587.513869,m3-13,29.05,0.2441,999.3457
1776012587.520391,m3-10,30.3271,0.2441,998.5271
1776012592.512142,m3-10,30.3708,0.4883,998.3235
1776012592.517509,m3-11,30.1875,0.7324,999.0833
1776012592.517885,m3-12,30.2979,0.4883,998.1623
1776012592.520534,m3-14,30.1958,0.4883,997.8757
1776012592.521525,m3-13,29.0875,0.4883,999.2476
1776012597.513456,m3-13,29.0708,0.2441,999.2576
1776012597.519801,m3-10,30.3208,0.2441,998.4358
1776012597.525192,m3-11,30.2146,0.4883,999.019
1776012597.525565,m3-12,30.3333,0.2441,998.1499
1776012597.528112,m3-14,30.2021,0.2441,997.8601
1776012602.516941,m3-11,30.1792,0.7324,999.1694
1776012602.517388,m3-12,30.3458,0.4883,998.3328
1776012602.519835,m3-14,30.225,0.4883,997.856
1776012602.52114,m3-13,29.0792,0.4883,999.4175
1776012602.527292,m3-10,30.3813,0.4883,998.3889
1776012607.51883,m3-10,30.3521,0.2441,998.4492
1776012607.524432,m3-11,30.2188,0.4883,999.0342
1776012607.524803,m3-12,30.3896,0.2441,998.0349
1776012607.527433,m3-14,30.2542,0.2441,997.8242
1776012607.528726,m3-13,29.1208,0.2441,999.2129
1776012612.526637,m3-10,30.3354,0.4883,998.4648
1776012612.532091,m3-11,30.2021,0.7324,999.0405
1776012612.532467,m3-12,30.3146,0.4883,998.0906
1776012612.534956,m3-14,30.2333,0.4883,997.779
1776012612.536381,m3-13,29.0688,0.4883,999.3296
1776012617.526603,m3-14,30.2188,0.2441,997.874
1776012617.528092,m3-13,29.0771,0.2441,999.2573
1776012617.534141,m3-10,30.3604,0.2441,998.2798
1776012617.53974,m3-11,30.1854,0.4883,999.072
1776012617.540493,m3-12,30.3667,0.2441,998.137
1776012622.531466,m3-11,30.2188,0.7324,999.0877
1776012622.53191,m3-12,30.35,0.4883,998.1919
1776012622.534279,m3-14,30.2396,0.4883,997.8147
1776012622.535821,m3-13,29.0646,0.4883,999.1926
1776012622.54179,m3-10,30.3667,0.4883,998.3445
1776012627.533456,m3-10,30.3271,0.2441,998.4624
1776012627.539125,m3-11,30.2354,0.4883,999.2073
1776012627.539505,m3-12,30.3479,0.2441,998.1279
1776012627.542002,m3-14,30.25,0.2441,997.9849
1776012627.543333,m3-13,29.0646,0.2441,999.27
1776012632.533743,m3-14,30.2833,0.4883,997.9595
1776012632.53496,m3-13,29.1167,0.4883,999.281
1776012632.541139,m3-10,30.3542,0.4883,998.4946
1776012632.546868,m3-11,30.2667,0.7324,999.1309
1776012632.547241,m3-12,30.3333,0.4883,998.0791
1776012637.538357,m3-11,30.2521,0.4883,998.9937
1776012637.538854,m3-12,30.3313,0.2441,998.1362
1776012637.541191,m3-14,30.25,0.2441,997.8677
1776012637.54253,m3-13,29.1,0.2441,999.1514
1776012637.54858,m3-10,30.3917,0.2441,998.301
1776012642.540385,m3-10,30.3438,0.4883,998.4275
1776012642.546129,m3-11,30.2063,0.7324,999.2283
1776012642.546547,m3-12,30.3813,0.4883,998.2158
1776012642.548924,m3-14,30.2479,0.4883,997.8613
1776012642.550369,m3-13,29.1271,0.4883,999.3164
1776012647.547865,m3-10,30.3833,0.2441,998.5344
1776012647.553588,m3-12,30.3958,0.2441,998.2144
1776012647.554029,m3-11,30.2688,0.4883,999.1331
1776012647.556378,m3-14,30.2208,0.2441,997.9038
1776012647.55782,m3-13,29.125,0.2441,999.4014
1776012652.548161,m3-14,30.2563,0.4883,997.8164
1776012652.549845,m3-13,29.0771,0.4883,999.3772
1776012652.555435,m3-10,30.4062,0.4883,998.4932
1776012652.561213,m3-12,30.3958,0.4883,998.0501
1776012652.562034,m3-11,30.2354,0.7324,999.0366
1776012657.553005,m3-12,30.3458,0.2441,998.176
1776012657.553494,m3-11,30.2292,0.4883,999.0437
1776012657.555651,m3-14,30.2479,0.2441,997.9033
1776012657.557468,m3-13,29.1083,0.2441,999.4148
1776012657.563089,m3-10,30.375,0.2441,998.5383
1776012662.554758,m3-10,30.4104,0.4883,998.4519
1776012662.560618,m3-12,30.3833,0.4883,998.2283
1776012662.56109,m3-11,30.2479,0.7324,999.1436
1776012662.563319,m3-14,30.2688,0.4883,997.9614
1776012662.565062,m3-13,29.1479,0.4883,999.2869
1776012667.556692,m3-13,29.1042,0.2441,999.458
1776012667.562329,m3-10,30.3479,0.2441,998.4778
1776012667.56812,m3-12,30.3917,0.2441,998.1985
1776012667.5686,m3-11,30.2542,0.4883,999.0093
1776012667.570784,m3-14,30.2771,0.2441,997.8621
1776012672.560142,m3-11,30.2167,0.7324,999.031
1776012672.562471,m3-14,30.2604,0.4883,997.8357
1776012672.564544,m3-13,29.1438,0.4883,999.3154
1776012672.569949,m3-10,30.3813,0.4883,998.4216
1776012672.575726,m3-12,30.3854,0.4883,998.1792
1776012677.567439,m3-12,30.3896,0.2441,998.083
1776012677.568032,m3-11,30.2646,0.4883,999.1252
1776012677.570184,m3-14,30.25,0.2441,997.8352
1776012677.572128,m3-13,29.1417,0.2441,999.1245
1776012677.577541,m3-10,30.3687,0.2441,998.4993
1776012682.569295,m3-10,30.4104,0.4883,998.4431
1776012682.574901,m3-12,30.3417,0.4883,998.1689
1776012682.575556,m3-11,30.2521,0.7324,999.1682
1776012682.577846,m3-14,30.225,0.4883,997.9492
1776012682.579772,m3-13,29.0646,0.4883,999.2744
1776012687.57134,m3-13,29.1229,0.2441,999.2588
1776012687.576765,m3-10,30.4271,0.2441,998.3901
1776012687.582542,m3-12,30.4042,0.2441,998.1475
1776012687.58312,m3-11,30.2646,0.4883,999.1892
1776012687.585345,m3-14,30.3042,0.2441,997.9658
1776012692.574864,m3-11,30.3,0.7324,999.0955
1776012692.577119,m3-14,30.3021,0.4883,997.7649
1776012692.579069,m3-13,29.1167,0.4883,999.3337
1776012692.584421,m3-10,30.3875,0.4883,998.3816
1776012692.590143,m3-12,30.4,0.4883,998.189
1776012697.582028,m3-12,30.3938,0.2441,998.1301
1776012697.582648,m3-11,30.275,0.4883,999.1558
1776012697.58478,m3-14,30.2396,0.2441,997.9719
1776012697.586649,m3-13,29.1354,0.2441,999.28
1776012697.592099,m3-10,30.4021,0.2441,998.4478
1776012702.583798,m3-10,30.4146,0.4883,998.3872
1776012702.589574,m3-12,30.3875,0.4883,998.0906
1776012702.590326,m3-11,30.2979,0.7324,999.1677
1776012702.592368,m3-14,30.275,0.4883,997.915
1776012702.594528,m3-13,29.1187,0.4883,999.3843
1776012707.586261,m3-13,29.1521,0.2441,999.3377
1776012707.591183,m3-10,30.4021,0.2441,998.375
1776012707.59709,m3-12,30.3771,0.2441,998.1052
1776012707.597816,m3-11,30.3062,0.4883,998.9922
1776012707.600052,m3-14,30.2979,0.2441,997.8855
1776012712.589542,m3-11,30.2479,0.7324,999.0632
1776012712.591629,m3-14,30.2979,0.4883,997.852
1776012712.593864,m3-13,29.1125,0.4883,999.2437
1776012712.598797,m3-10,30.3917,0.4883,998.4155
1776012712.604688,m3-12,30.3896,0.4883,998.1284
1776012717.596568,m3-12,30.3854,0.2441,998.1929
1776012717.597283,m3-11,30.2646,0.4883,999.0803
1776012717.599019,m3-14,30.2708,0.2441,997.8728
1776012717.601537,m3-13,29.1521,0.2441,999.2205
1776012717.606601,m3-10,30.3979,0.2441,998.3418
1776012722.598195,m3-10,30.4125,0.4883,998.5518
1776012722.604095,m3-12,30.4312,0.4883,998.1348
1776012722.60497,m3-11,30.2792,0.7324,999.1907
1776012722.606845,m3-14,30.2812,0.4883,997.957
1776012722.609191,m3-13,29.1375,0.4883,999.2629
1776012727.600989,m3-13,29.1417,0.2441,999.3345
1776012727.605825,m3-10,30.4021,0.2441,998.5894
1776012727.611797,m3-12,30.3979,0.2441,998.0891
1776012727.612638,m3-11,30.2979,0.4883,999.001
1776012727.61448,m3-14,30.3083,0.2441,997.8386
1776012732.604535,m3-11,30.2896,0.7324,999.1724
1776012732.606104,m3-14,30.2833,0.4883,997.9036
1776012732.608599,m3-13,29.1583,0.4883,999.4512
1776012732.613443,m3-10,30.4396,0.4883,998.3787
1776012732.619297,m3-12,30.3917,0.4883,998.1716
1776012737.611074,m3-12,30.4396,0.2441,998.2446
1776012737.612004,m3-11,30.3313,0.4883,999.0586
1776012737.613756,m3-14,30.3083,0.2441,997.6768
1776012737.616257,m3-13,29.1979,0.2441,999.2822
1776012737.620973,m3-10,30.4146,0.2441,998.4944
1776012742.612684,m3-10,30.4083,0.4883,998.4827
1776012742.618633,m3-12,30.4146,0.4883,998.2405
1776012742.6197,m3-11,30.3167,0.7324,999.0237
1776012742.621328,m3-14,30.2833,0.4883,997.8704
1776012742.623896,m3-13,29.1458,0.4883,999.2808
1776012747.615495,m3-13,29.1479,0.2441,999.3149
1776012747.6203,m3-10,30.4312,0.2441,998.4817
1776012747.62638,m3-12,30.4417,0.2441,998.1113
1776012747.627406,m3-11,30.2854,0.4883,999.0232
1776012747.629013,m3-14,30.275,0.2441,997.9392
1776012752.619216,m3-11,30.2854,0.7324,998.9785
1776012752.620731,m3-14,30.3021,0.4883,997.843
1776012752.623333,m3-13,29.1646,0.4883,999.3442
1776012752.62792,m3-10,30.4167,0.4883,998.2461
1776012752.633837,m3-12,30.4062,0.4883,998.2058
1776012757.625693,m3-12,30.4396,0.2441,998.1047
1776012757.626799,m3-11,30.2688,0.4883,999.0171
1776012757.628281,m3-14,30.2896,0.2441,997.8914
1776012757.630882,m3-13,29.1667,0.2441,999.2627
1776012757.635519,m3-10,30.3646,0.2441,998.344
1776012762.627139,m3-10,30.4396,0.4883,998.4751
1776012762.633175,m3-12,30.4208,0.4883,998.0769
1776012762.634475,m3-11,30.2958,0.7324,999.1697
1776012762.63596,m3-14,30.2979,0.4883,997.8813
1776012762.638554,m3-13,29.1479,0.4883,999.3872
1776012767.630264,m3-13,29.1771,0.2441,999.323
1776012767.634641,m3-10,30.4292,0.2441,998.3914
1776012767.640794,m3-12,30.3917,0.2441,998.1321
1776012767.642143,m3-11,30.3313,0.4883,999.0183
1776012767.643488,m3-14,30.3146,0.2441,997.8584
1776012772.634089,m3-11,30.325,0.7324,999.1502
1776012772.634971,m3-14,30.2937,0.4883,997.8955
