battery_state,aoi_state,channel_quality,action,action_code,Q_energy,Q_freshness,exp_id
high(80+),aging(5-8),medium,sleep,0,0.0,0.0,437864
high(80+),aging(5-8),good,wait,1,-1.4878,-0.6846,437864
high(80+),stale(9-12),poor,sleep,0,0.0,0.0,437864
high(80+),stale(9-12),medium,sleep,0,0.0,0.0,437864
high(80+),stale(9-12),good,wait,1,-1.3569,-0.8545,437864
high(80+),old(>12),poor,sleep,0,0.0,0.0,437864
high(80+),old(>12),medium,sleep,0,0.0,0.0,437864
high(80+),old(>12),good,transmit,2,-1.8767,-0.2941,437864
crit(0-5),fresh(≤1),poor,sleep,0,0.0,0.0,437035
crit(0-5),fresh(≤1),medium,sleep,0,0.0,0.0,437035
crit(0-5),fresh(≤1),good,transmit,2,0.0,-0.3826,437035
crit(0-5),ok(2-4),poor,sleep,0,0.0,0.0,437035
crit(0-5),ok(2-4),medium,sleep,0,0.0,0.0,437035
crit(0-5),ok(2-4),good,transmit,2,0.0,-0.9407,437035
crit(0-5),aging(5-8),poor,sleep,0,0.0,0.0,437035
crit(0-5),aging(5-8),medium,sleep,0,0.0,0.0,437035
crit(0-5),aging(5-8),good,sleep,0,-0.0998,-1.3575,437035
crit(0-5),stale(9-12),poor,sleep,0,0.0,0.0,437035
crit(0-5),stale(9-12),medium,sleep,0,0.0,0.0,437035
crit(0-5),stale(9-12),good,transmit,2,0.0,-1.0061,437035
crit(0-5),old(>12),poor,sleep,0,0.0,0.0,437035
crit(0-5),old(>12),medium,sleep,0,0.0,0.0,437035
crit(0-5),old(>12),good,wait,1,-0.2199,-2.7539,437035
low(5-20),fresh(≤1),poor,sleep,0,0.0,0.0,437035
low(5-20),fresh(≤1),medium,sleep,0,0.0,0.0,437035
low(5-20),fresh(≤1),good,wait,1,-0.624,-0.68,437035
low(5-20),ok(2-4),poor,sleep,0,0.0,0.0,437035
low(5-20),ok(2-4),medium,sleep,0,0.0,0.0,437035
low(5-20),ok(2-4),good,sleep,0,-0.6295,-0.742,437035
low(5-20),aging(5-8),poor,sleep,0,0.0,0.0,437035
low(5-20),aging(5-8),medium,sleep,0,0.0,0.0,437035
low(5-20),aging(5-8),good,sleep,0,-0.7287,-0.8487,437035
low(5-20),stale(9-12),poor,sleep,0,0.0,0.0,437035
low(5-20),stale(9-12),medium,sleep,0,0.0,0.0,437035
low(5-20),stale(9-12),good,transmit,2,-1.3574,-0.5306,437035
low(5-20),old(>12),poor,sleep,0,0.0,0.0,437035
low(5-20),old(>12),medium,sleep,0,0.0,0.0,437035
low(5-20),old(>12),good,transmit,2,-1.3748,-0.6296,437035
med-lo(20-40),fresh(≤1),poor,sleep,0,0.0,0.0,437035
med-lo(20-40),fresh(≤1),medium,sleep,0,0.0,0.0,437035
med-lo(20-40),fresh(≤1),good,sleep,0,-1.1717,-0.5386,437035
med-lo(20-40),ok(2-4),poor,sleep,0,0.0,0.0,437035
med-lo(20-40),ok(2-4),medium,sleep,0,0.0,0.0,437035
med-lo(20-40),ok(2-4),good,sleep,0,-1.1215,-0.6582,437035
med-lo(20-40),aging(5-8),poor,sleep,0,0.0,0.0,437035
med-lo(20-40),aging(5-8),medium,sleep,0,0.0,0.0,437035
med-lo(20-40),aging(5-8),good,wait,1,-1.2494,-0.8039,437035
med-lo(20-40),stale(9-12),poor,sleep,0,0.0,0.0,437035
med-lo(20-40),stale(9-12),medium,sleep,0,0.0,0.0,437035
med-lo(20-40),stale(9-12),good,sleep,0,-1.1769,-1.0387,437035
med-lo(20-40),old(>12),poor,sleep,0,0.0,0.0,437035
med-lo(20-40),old(>12),medium,sleep,0,0.0,0.0,437035
med-lo(20-40),old(>12),good,transmit,2,-1.9487,-0.509,437035
medium(40-60),fresh(≤1),poor,sleep,0,0.0,0.0,437035
medium(40-60),fresh(≤1),medium,sleep,0,0.0,0.0,437035
medium(40-60),fresh(≤1),good,sleep,0,-1.3922,-0.536,437035
medium(40-60),ok(2-4),poor,sleep,0,0.0,0.0,437035
medium(40-60),ok(2-4),medium,sleep,0,0.0,0.0,437035
medium(40-60),ok(2-4),good,wait,1,-1.5133,-0.6256,437035
medium(40-60),aging(5-8),poor,sleep,0,0.0,0.0,437035
medium(40-60),aging(5-8),medium,sleep,0,0.0,0.0,437035
medium(40-60),aging(5-8),good,wait,1,-1.4792,-0.7947,437035
medium(40-60),stale(9-12),poor,sleep,0,0.0,0.0,437035
medium(40-60),stale(9-12),medium,sleep,0,0.0,0.0,437035
medium(40-60),stale(9-12),good,wait,1,-1.4715,-0.9451,437035
medium(40-60),old(>12),poor,sleep,0,0.0,0.0,437035
medium(40-60),old(>12),medium,sleep,0,0.0,0.0,437035
medium(40-60),old(>12),good,transmit,2,-2.2408,-0.4522,437035
med-hi(60-80),fresh(≤1),poor,sleep,0,0.0,0.0,437035
med-hi(60-80),fresh(≤1),medium,sleep,0,0.0,0.0,437035
med-hi(60-80),fresh(≤1),good,sleep,0,-1.5278,-0.4857,437035
med-hi(60-80),ok(2-4),poor,sleep,0,0.0,0.0,437035
med-hi(60-80),ok(2-4),medium,sleep,0,0.0,0.0,437035
med-hi(60-80),ok(2-4),good,sleep,0,-1.5708,-0.5919,437035
med-hi(60-80),aging(5-8),poor,sleep,0,0.0,0.0,437035
med-hi(60-80),aging(5-8),medium,sleep,0,0.0,0.0,437035
med-hi(60-80),aging(5-8),good,sleep,0,-1.5802,-0.7548,437035
med-hi(60-80),stale(9-12),poor,sleep,0,0.0,0.0,437035
med-hi(60-80),stale(9-12),medium,sleep,0,0.0,0.0,437035
med-hi(60-80),stale(9-12),good,wait,1,-1.7069,-0.9895,437035
med-hi(60-80),old(>12),poor,sleep,0,0.0,0.0,437035
med-hi(60-80),old(>12),medium,sleep,0,0.0,0.0,437035
med-hi(60-80),old(>12),good,transmit,2,-2.3635,-0.5043,437035
high(80+),fresh(≤1),poor,sleep,0,0.0,0.0,437035
high(80+),fresh(≤1),medium,sleep,0,0.0,0.0,437035
